big_title,time,title,context,elec(fre),ener(fre),nuc(fre),water(fre),fire(fre),year,month,day,day_name
과학,2023-09-13,[과학기술이 미래다] 〈102〉국내 첫 퍼스널 컴퓨터 경진대회,"1984년 4월 22일. 제1회 퍼스널 컴퓨터 경진대회가 이날 오전 9시 서울 송파구 잠실실내체육관에서 열렸다.정보산업 육성과 범국민 컴퓨터 사용 확산을 위해 정부가 야심 차게 마련한 국내 최초의 컴퓨터 경진대회였다. 국내 첫 대회답게 국민들의 시선을 사로잡았다. 시·도 예선자만 6300명에 이르렀다.이 대회는 두 가지 진기록을 남겼다. 하나는 대회 도중 정전 사고 발생이다. 다른 하나는 대통령상 수상자가 초등학생이라는 사실이다.이 경진대회는 과학기술처가 주관하고 한국과학기술원(KAIST) 부설 전산개발센터(현 한국과학기술정보연구원)와 한국방송공사(KBS)가 주최했다. 전자시보(현 전자신문)와 중앙일보, 조선일보, 한국일보 등이 후원한 매머드급 대회였다.체육관 주변은 대회 하루 전인 21일부터 바쁘게 움직였다. 체육관 실내 바닥에 컴퓨터용 책상과 의자가 한 조를 이룬 컴퓨터 300대를 설치했다. 컴퓨터를 네트워크로 연결해서 대회 참가자들이 문제를 풀고 이를 심사위원들이 채점할 수 있는 시스템 구축 작업이었다.체육관은 22일 하루만 임대한 관계로 컴퓨터 설치와 실내 장식 작업을 하느라 주최 측은 꼬박 밤을 새웠다. 컴퓨터 보급이 흔치 않던 시절 컴퓨터 300대를 설치하는 광경은 그야말로 장관이었다. 경진대회에서는 예선을 통과한 초·중·고등학생과 대학생, 일반인 등 300명이 기량을 겨뤘다. 대회는 소프트웨어(SW)와 경시 등 2개 부문으로 진행했다.이날 오전 9시 20분. “지금부터 경시 대회를 시작하겠습니다.” 시작 선언과 동시에 참가자들은 주최 측이 출제한 문제를 풀기 시작했다.이 대회는 컴퓨터 사용 확산과 정보화 촉진을 위해 개최했다. 처음 경진대회를 구상한 사람은 전자공학박사인 홍성원 청와대 과학기술비서관이었다. 홍 비서관은 전 해인 1983년 제1차 기술진흥확대회의 보고 주제를 '정보산업육성'으로 하자는 아이디어도 내기도 했다. 당시 정보산업육성위원장은 대통령 비서실장이었다. 정보산업 육성의 키를 청와대가 쥐고 있었다.성기수 당시 전산개발센터 소장의 증언. “홍 비서관은 대국민 컴퓨터 마인드 확산과 정보산업 육성의 물꼬를 트기 위해 이벤트성 행사가 없을까 고민하다가 경진대회 아이디어를 냈다고 합니다.”주위에서는 이런 제안에 반대 입장이 다수였다. 구체적인 대회 추진 계획도 없고, 예산도 없었다. 가장 큰 문제는 누가 어떤 기준으로 경시 문제를 내고, 채점은 어떻게 하느냐였다.청와대는 한국과학기술재단(현 한국과학창의재단) 등 여러 곳에 공문을 보내 대회 개최 의사를 타진했다. 그러나 다수의 기관이 대회 개최에 고개를 내저었다. 이런 가운데 전산개발센터 소장인 성기수 박사의 생각은 달랐다. 범국민 컴퓨터 확산에 이 만한 행사가 없다고 판단했다.성기수 박사의 말. “당시 이런 행사를 진행할 역량이 있는 곳은 전산개발센터뿐이었습니다. 우리는 금융 전산망과 행정 전산망 등 전산화 사업을 해서 기술 역량이 충분했어요. 우리가 대회를 맡아 추진하겠다고 청와대에 통보했어요. 그러자 홍 비서관이 '이 대회를 공식행사로 개최하자'며 대통령 재가를 받았어요. 예산은 한국전기통신공사(현 KT)와 교육용 컴퓨터 개발업체의 협찬금으로 해결키로 했습니다.”대회 기획과 행사 진행 업무를 전산개발센터가 도맡았다. 대회 진행 계획은 수차례 민·관 합동회의를 열어 마련했다. 협의해야 할 기관은 한두 곳이 아니었다. 청와대와 과학기술처 등 관련 부처를 비롯해 한국전력공사, 한국통신, 방송사, 신문사, 경찰서 등 협의기관은 차고 넘쳤다.1984년 1월 초 세부안을 확정했다. 대회장직은 성기수 소장, 추진위원장직은 이원홍 KBS 사장이 각각 맡았다. 추진위원은 김성철 과학기술처 정보산업기술국장, 장기옥 문교부 보통교육국장, 김완희 전자시보 사장, 이종기 중앙일보 사장, 조정완 한국정보과학회장 등이었다. 교육용 컴퓨터 개발업체인 금성사(현 LG전자), 삼성전자, 삼보컴퓨터, 동양나이론, 석영컴퓨터, 홍익전자, 스포트라이트컴퓨터, 이행전기공업 대표 등도 추진위원에 포함했다.전산개발센터 A 관계자의 말. “대회 준비 과정에 청와대 홍성원 비서관과 송옥환 행정관, 과학기술처 유희열 과장 등이 적극 지원해 주었습니다.”경진대회 집행은 전산개발센터 이정희 실장, 기술장비·심사 업무 등은 안영경 실장이 담당했다.1월 중순. 대회 요강을 확정했다. 대회는 컴퓨터 교육용으로 개발한 프로그램을 공모하는 SW, 현장에서 출제한 문제를 푸는 경시 등 2개 부문으로 나눠 진행키로 했다. 참가 대상 자격은 제한을 두지 않았다. SW 부문은 실용적 가치와 교육적 가치, 컴퓨터 보급 기여도, 창의성과 프로그램 기술, 정보산업 발전기여도 등을 평가 기준으로 정했다. 3단계 과정을 거쳐 최종 입상자를 선정키로 했다.대회가 한창 진행되고 있던 이날 오전 10시 20분쯤 누구도 예상하지 못한 정전 사고가 발생했다. 한순간 대회장은 암흑 속에 잠겼다. 300대의 컴퓨터도 일시에 꺼졌다. 대회장은 대혼란에 빠졌다. “이게 무슨 일이야!”원인은 전두환 대통령의 방문 때문이었다. 과학기술 육성에 남다른 관심이 있던 전 대통령이 일정을 바꿔 예고 없이 경진대회장을 방문한 것이다. 대통령보다 한발 앞서 도착한 청와대 경호원이 안전 점검을 위해 체육관 전원을 차단하는 바람에 일어난 우발사고였다. 전원을 급히 올렸지만 이미 엎지른 물이었다. 컴퓨터에 작업한 내용은 다 날아갔다. 항의가 빗발쳤다.성기수 박사의 증언. “전 대통령은 대회장에 오래 머무르지 않았어요. '수고한다'면서 관계자들을 격려하고 대회장을 둘러본 후 곧장 다른 곳으로 간 걸로 기억합니다. 현장에서는 난리가 났지요.”주최 측은 긴급 회의를 열고 낮 12시 20분에 끝낼 예정이던 경시를 2시간 연장했다. 오후 1시쯤 참가자들에게 우유와 빵을 점심으로 제공했다. 애초 오후 5시로 예정한 시상식도 2시간 연기했다.오후 7시. 조정완 심사위원장이 단상으로 나와 수상자를 발표했다. 긴장된 순간이었다. “영예의 대통령상 수상자는 초등부에 출전한 하형진 군입니다.” 경시장은 또 한번 경악했다. “초등학생이 대통령상 수상자라니!” 하 군은 당시 12살로, 대구 계성초등학교 6학년이었다.조정완 위원장은 “하 군은 6개 컴퓨터 프로그램 문제를 소리를 이용하는 등 재치 있는 화면 구성으로 흥미있게 꾸몄다”고 극찬했다.하 군은 당시 컴퓨터를 배운 지 10개월 정도였다. 그는 전자게임에서는 누나에게 번번히 진다고 말했다. 국무총리상은 김상범 군(서울 잠실고)과 유백현 씨(회사원)가 각각 받았다. 이 밖에 10명이 문교부 장관상, 과학기술처 장관상, 상공부 장관상, 단체상 등을 받았다.SW 부문에서는 313개 작품 가운데 '컴퓨터 트레이너'를 개발한 임유성 씨(회사원)가 대통령상을 받았다. 국무총리상은 배병인 씨(회사원)와 이상호 씨(공무원)가 수상했다. 이 밖에 20명이 과학기술처 장관상, 상공부 장관상, 문교부 장관상을 받았다.이날 대회장에서는 일반 관람객을 위해 공모작품 전시, 컴퓨터 전시회, 경품, 특가판매 등을 부수 행사로 진행했다. 후원업체가 제공한 컴퓨터 40대는 참가자들에게 경품으로 제공했다.5월 23일. 전두환 대통령은 이날 낮 청와대에서 컴퓨터 경진대회 수상자, 전국발명장려대회 수상자, 대회 관계자 등 121명과 오찬을 함께하며 이들을 격려했다.전 대통령은 이 자리에서 “과학기술 전쟁에서 승리하는 나라만 번영을 누릴 수 있다”면서 “과학기술 진흥만이 그런 승리를 보장할 수 있다”고 말했다. 오찬 자리에는 이정오 과학기술처 장관과 성기수 박사 등도 참석했다.이 대회를 시작으로 전국에 경진대회 열풍이 거세게 불었다. 시·도별, 기업체, 행정 부처까지 자체 경진대회를 열어 정보화 발걸음을 재촉했다. 경진대회는 6회까지 전산개발센터에 이어 시스템공학연구소가 주관했다. 1996년부터는 한국정보올림피아드로 명칭을 변경했다. 1회 컴퓨터 경진대회는 컴퓨터 사용 확산과 정보화 촉진의 마중물 역할을 했다.이현덕 대기자 hdlee@etnews.com",3,0,0,0,0,2023,9,13,Wednesday
과학,2023-09-13,나노·소재 성과공유회,나노·소재분야 R&D 정책 및 우수 연구성과를 발표하고 성과물을 공유하는 나노·소재 성과공유회 '알성달성'이 12일 서울 강남구 한국과학기술회관에서 열렸다. KAIST 연구진이 그래핀 나노복합소재를 활용한 헤라클래스 인공근육 개발 기술을 선보이고 있다.이동근기자 foto@etnews.com,0,0,0,0,0,2023,9,13,Wednesday
과학,2023-09-12,[알림] 테크비즈코리아 2023,"전자신문사가 올해에도 우리 연구 현장의 사업화 유망기술을 민간기업과 투자자에 소개하는 기술교류의 장을 마련했습니다. 9월 25~26일 이틀 일정으로 대전컨벤션센터(DCC) 그랜드볼룸에서 '테크비즈코리아(Tech-Biz Korea) 2023'을 개최합니다.정부출연연구기관(출연연), 과학기술원을 비롯한 우리 연구 현장은 세계 어느 곳에 내놓아도 손색없는 최첨단 기술을 보유한 곳입니다. 우리 산업계와 중소·중견기업의 새로운 성장동력을 뒷받침하는 핵심 기반이지만, 보유한 기술이 미처 외부에 알려지지 않은 경우도 있습니다.테크비즈코리아 행사는 다양한 기관이 보유한 유망기술을 망라하고 소개합니다. 연구 현장과 산업계를 연결해 기술의 기업 이전, 기업의 성장 기틀 구축을 돕습니다.많은 기업과 투자자, 연구기관이 참여해 우리 연구진의 기술 현황을 살펴보고, 활용할 기회를 잡기를 바랍니다.○행사명:테크비즈코리아 2023○주최:전자신문사○일시:2023년 9월 25~26일○후원:과학기술정보통신부, 산업통상자원부, 중소벤처기업부, 대전광역시, 특허청○주요 행사:기술이전 콘퍼런스, 기술성과 전시회, 기업 기술이전 매칭 상담회○기술이전 매칭 상담 신청:테크비즈코리아 2023 홈페이지(무료)○참여 기관:광주과학기술원, 국가과학기술연구회, 한국건설기술연구원, 한국과학기술원, 한국과학기술정보연구원, 한국기계연구원, 한국기초과학지원연구원, 한국생명공학연구원, 한국생산기술연구원, 한국에너지기술연구원, 한국원자력연구원, 한국원자력환경공단, 한국재료연구원, 한국전기연구원, 한국전자통신연구원, 한국지질자원연구원, 한국철도기술연구원, 한국표준과학연구원, 한국화학연구원 (가나다순)",1,1,2,0,0,2023,9,12,Tuesday
과학,2023-09-12,드럼치는 로봇 '모펫' 입니다,국내 연구진이 음악 빅데이터 기반 인공지능(AI)을 통해 인간과 상호작용하며 합주 할 수 있는 휴머노이드 로봇을 개발했다. 8일 서울 성북구 한국과학기술연구원에서 연구원들이 휴머노이드 드럼로봇 '모펫'을 점검하고 있다.이동근기자 foto@etnews.com,0,0,0,0,0,2023,9,12,Tuesday
과학,2023-09-11,드럼치는 로봇 '모펫' 입니다,국내 연구진이 음악 빅데이터 기반 인공지능(AI)을 통해 인간과 상호작용하며 합주 할 수 있는 휴머노이드 로봇을 개발했다. 11일 서울 성북구 한국과학기술연구원(KIST)에서 지능로봇연구단 임세혁 박사 연구팀 연구원들이 휴머노이드 드럼로봇 '모펫'을 테스트하고 있다.이동근 기자 foto@etnews.com,0,0,0,0,0,2023,9,11,Monday
과학,2023-09-11,드럼치는 로봇 '모펫',국내 연구진이 음악 빅데이터 기반 인공지능(AI)을 통해 인간과 상호작용하며 합주 할 수 있는 휴머노이드 로봇을 개발했다. 11일 서울 성북구 한국과학기술연구원(KIST)에서 지능로봇연구단 임세혁 박사 연구팀 연구원들이 휴머노이드 드럼로봇 '모펫'을 테스트하고 있다.이동근기자 foto@etnews.com,0,0,0,0,0,2023,9,11,Monday
과학,2023-09-11,드럼치는 로봇 '모펫' 입니다,국내 연구진이 음악 빅데이터 기반 인공지능(AI)을 통해 인간과 상호작용하며 합주 할 수 있는 휴머노이드 로봇을 개발했다. 11일 서울 성북구 한국과학기술연구원(KIST)에서 지능로봇연구단 임세혁 박사 연구팀 연구원들이 휴머노이드 드럼로봇 '모펫'을 테스트하고 있다.이동근기자 foto@etnews.com,0,0,0,0,0,2023,9,11,Monday
과학,2023-09-11,'두구두구둥' 정확한 박자감 갖춘 휴머노이드 로봇,국내 연구진이 음악 빅데이터 기반 인공지능(AI)을 통해 인간과 상호작용하며 합주 할 수 있는 휴머노이드 로봇을 개발했다. 11일 서울 성북구 한국과학기술연구원(KIST)에서 지능로봇연구단 임세혁 박사 연구팀 연구원들이 휴머노이드 드럼로봇 '모펫'을 테스트하고 있다.이동근기자 foto@etnews.com,0,0,0,0,0,2023,9,11,Monday
과학,2023-09-11,드럼치는 휴머노이드 로봇 '모펫',국내 연구진이 음악 빅데이터 기반 인공지능(AI)을 통해 인간과 상호작용하며 합주 할 수 있는 휴머노이드 로봇을 개발했다. 11일 서울 성북구 한국과학기술연구원(KIST)에서 지능로봇연구단 임세혁 박사 연구팀 연구원들이 휴머노이드 드럼로봇 '모펫'을 테스트하고 있다.이동근기자 foto@etnews.com,0,0,0,0,0,2023,9,11,Monday
과학,2023-09-09,"민원 안내도 '척척' 경과원, 광교테크노밸리 내 안내로봇 배치","경기도경제과학진흥원은 광교테크노밸리의 디지털 전환과 고객 서비스 향상을 위해 경과원 로비 내 무인 안내로봇 '광도리'를 도입했다고 9일 밝혔다.무인 안내로봇 '광도리'는 무선통신을 통해 행사를 실시간으로 파악하고 안내할 수 있도록 설계됐다. 자율주행 및 물체 감지를 통한 시설물 안내와 음성인식, 영상 송출, 사진촬영·전송 등 다양한 기능 구현이 가능하다.광도리는 대관시설 행사와 방문고객에 대한 △오늘의 행사 안내 △행사장 및 유관기관 방문 에스코트 △웰컴및출·퇴근 그리팅(인사) 제공 등 서비스를 제공한다.무인로봇 '광도리'는 광교테크노밸리의 '광'과 '道'의 약자로 광교테크노밸리의 소개와 더불어 고객의 방문지(길)를 안내하는 의미로 이름을 붙였다.제진수 경과원 미래성장부문 상임이사는 “안내로봇 '광도리' 시범 도입으로 고객의 편의가 한층 향상될 것”이라며 “앞으로 운영성과 등을 검토해 더 나은 고객 서비스를 위해 안내로봇을 확대하겠다”고 말했다.수원=김동성 기자 estar@etnews.com",0,0,0,0,0,2023,9,9,Saturday
